V1,V2,V3,V4,V5,V6,V7
attitude,slope_subjective,sem,slope_obj,sem,t,P,df
trust,  -0.0444,   0.0090,  -0.0026,   0.0150,  -2.3866,   0.0085,2250.0000
hype,  -0.0609,   0.0099,   0.0009,   0.0163,  -3.2462,   0.0006,2458.0000
GM,  -0.0321,   0.0070,  -0.0186,   0.0114,  -1.0141,   0.1553,2982.0000
