"Comparison","N1","N2","N3","Intersect","Mean_intersection_rand","Sd_rand","Z","P"
"Hype.v.GM","29","105","NA","6","1.442","1.179","3.866","0"
"Hype.v.Trust","29","47","NA","17","0.649","0.7749","21.102","0"
"Trust.v.GM","47","105","NA","10","2.354","1.457","5.2478","0"
"Three.way","105.0000"," 47.0000"," 29.0000","  3.0000","  0.0430","  0.2030"," 14.5695","  0.0000"
