"","x","y","z"
"1",1,0.0269174170640537,0.22156659983827
"2",2,0.0232717119377072,0.290618403255517
"3",3,0.051932216665938,0.0182991215301273
"4",4,0.106230984267016,1.31828932873801e-06
"5",5,0.0257736782033024,0.241833627964764
"6",6,0.0303260145179033,0.168440723937461
"7",7,0.0816399560974409,0.000204850193263502
"8",8,0.0470380571569603,0.0326072021715473
"9",9,0.0884757500175181,5.69690921385903e-05
"10",10,0.0726344248985106,0.000959169016223627
"11",11,0.0535031096768965,0.0150579295206588
"12",12,0.0887019094533806,5.45197862179032e-05
